metformin - MCF7
metformin - MCF7
metformin - MCF7
metformin - MCF7
phenformin - MCF7
phenyl biguanide - MCF7
valproic acid - MCF7
metformin - MCF7
estradiol - MCF7
alpha-estradiol - MCF7
dexamethasone - MCF7
mesalazine - MCF7
chlorpropamide - MCF7
tolbutamide - MCF7
tamoxifen - MCF7
chlorpropamide - MCF7
verapamil - MCF7
dexverapamil - MCF7
exemestane - MCF7
rofecoxib - MCF7
amitriptyline - MCF7
sulindac - MCF7
tacrolimus - MCF7
15-delta prostaglandin J2 - MCF7
raloxifene - MCF7
nordihydroguaiaretic acid - MCF7
sulfasalazine - MCF7
rofecoxib - MCF7
celecoxib - MCF7
LM-1685 - MCF7
SC-58125 - MCF7
tanespimycin - MCF7
tomelukast - MCF7
TTNPB - MCF7
tretinoin - MCF7
rofecoxib - MCF7
celecoxib - MCF7
LM-1685 - MCF7
SC-58125 - MCF7
dexamethasone - MCF7
rofecoxib - MCF7
LY-294002 - MCF7
ciclosporin - MCF7
indometacin - MCF7
clofibrate - MCF7
MK-886 - MCF7
prednisolone - MCF7
thalidomide - MCF7
genistein - MCF7
genistein - MCF7
fludrocortisone - MCF7
fludrocortisone - MCF7
quercetin - MCF7
tacrolimus - MCF7
sulindac - MCF7
sulindac sulfide - MCF7
exisulind - MCF7
fulvestrant - MCF7
monastrol - MCF7
staurosporine - MCF7
NU-1025 - MCF7
exisulind - MCF7
acetylsalicylic acid - MCF7
flufenamic acid - MCF7
N-phenylanthranilic acid - MCF7
LY-294002 - MCF7
monorden - MCF7
sirolimus - MCF7
arachidonyltrifluoromethane - MCF7
LY-294002 - MCF7
trichostatin A - MCF7
trichostatin A - MCF7
diclofenac - MCF7
mercaptopurine - MCF7
nifedipine - MCF7
nitrendipine - MCF7
felodipine - MCF7
azathioprine - MCF7
sodium phenylbutyrate - MCF7
novobiocin - MCF7
fasudil - MCF7
2-deoxy-D-glucose - MCF7
valproic acid - MCF7
valproic acid - MCF7
valproic acid - MCF7
valproic acid - MCF7
LY-294002 - HL60
sirolimus - HL60
sodium phenylbutyrate - HL60
trichostatin A - HL60
estradiol - MCF7
imatinib - MCF7
fulvestrant - MCF7
pirinixic acid - MCF7
rosiglitazone - HL60
troglitazone - HL60
rofecoxib - HL60
estradiol - ssMCF7
dexamethasone - ssMCF7
tamoxifen - ssMCF7
raloxifene - ssMCF7
celecoxib - MCF7
tacrolimus - MCF7
cobalt chloride - MCF7
tamoxifen - MCF7
tanespimycin - MCF7
genistein - MCF7
cobalt chloride - MCF7
tretinoin - MCF7
estradiol - HL60
raloxifene - HL60
wortmannin - HL60
tretinoin - HL60
LY-294002 - ssMCF7
sirolimus - ssMCF7
alpha-estradiol - ssMCF7
wortmannin - ssMCF7
tetraethylenepentamine - MCF7
tetraethylenepentamine - MCF7
sodium phenylbutyrate - MCF7
sodium phenylbutyrate - MCF7
valproic acid - HL60
valproic acid - HL60
sodium phenylbutyrate - HL60
tetraethylenepentamine - HL60
trichostatin A - ssMCF7
estradiol - ssMCF7
nordihydroguaiaretic acid - ssMCF7
clozapine - MCF7
thioridazine - MCF7
haloperidol - MCF7
chlorpromazine - MCF7
trifluoperazine - MCF7
thioridazine - MCF7
staurosporine - MCF7
LY-294002 - MCF7
staurosporine - MCF7
chlorpromazine - MCF7
iloprost - MCF7
tanespimycin - MCF7
LY-294002 - PC3
rosiglitazone - PC3
troglitazone - PC3
tanespimycin - PC3
valproic acid - PC3
sodium phenylbutyrate - PC3
novobiocin - PC3
fasudil - PC3
novobiocin - MCF7
copper sulfate - MCF7
oxamic acid - MCF7
W-13 - MCF7
arachidonic acid - MCF7
oligomycin - MCF7
arachidonic acid - MCF7
clofibrate - MCF7
diclofenac - PC3
15-delta prostaglandin J2 - PC3
tretinoin - PC3
trichostatin A - PC3
monorden - PC3
tanespimycin - PC3
TTNPB - PC3
indometacin - PC3
indometacin - MCF7
cobalt chloride - MCF7
prochlorperazine - MCF7
quinpirole - MCF7
tetraethylenepentamine - PC3
valproic acid - PC3
copper sulfate - PC3
deferoxamine - PC3
LY-294002 - PC3
troglitazone - PC3
rofecoxib - PC3
pirinixic acid - PC3
pirinixic acid - PC3
celecoxib - PC3
imatinib - PC3
monorden - PC3
deferoxamine - MCF7
calmidazolium - MCF7
pirinixic acid - MCF7
iloprost - MCF7
monorden - MCF7
fluphenazine - MCF7
dopamine - MCF7
haloperidol - MCF7
monorden - SKMEL5
fluphenazine - SKMEL5
pirinixic acid - SKMEL5
iloprost - SKMEL5
valproic acid - ssMCF7
tetraethylenepentamine - ssMCF7
novobiocin - ssMCF7
copper sulfate - ssMCF7
LY-294002 - SKMEL5
sodium phenylbutyrate - SKMEL5
indometacin - SKMEL5
troglitazone - SKMEL5
tanespimycin - SKMEL5
wortmannin - SKMEL5
SC-58125 - SKMEL5
staurosporine - SKMEL5
tanespimycin - ssMCF7
fulvestrant - ssMCF7
nordihydroguaiaretic acid - ssMCF7
gefitinib - HL60
SC-58125 - HL60
1,5-isoquinolinediol - HL60
monorden - HL60
15-delta prostaglandin J2 - SKMEL5
deferoxamine - MCF7
tetraethylenepentamine - MCF7
copper sulfate - MCF7
